ticker,name,sector
003230,삼양식품,ramen_snack
004370,농심,ramen_snack
007310,오뚜기,ramen_snack
097950,CJ제일제당,ramen_snack
271560,오리온,ramen_snack
280360,롯데웰푸드,ramen_snack
005740,크라운제과,ramen_snack
005180,빙그레,dairy_beverage
267980,매일유업,dairy_beverage
003920,남양유업,dairy_beverage
049770,동원F&B,dairy_beverage
000080,하이트진로,alcohol_beverage
005300,롯데칠성,alcohol_beverage
001680,대상,ramen_snack
005610,SPC삼립,bakery
017810,풀무원,bakery
139480,이마트,retail
007070,GS리테일,retail
282330,BGF리테일,retail
090430,아모레퍼시픽,cosmetics
051900,LG생활건강,cosmetics
192820,코스맥스,cosmetics
278470,에이피알,cosmetics
